,IDsensore,DataOra,Misura,Valido
428,8140,2018-01-22 17:00:00.000,6.3,100
429,8140,2018-01-22 18:00:00.000,4.8,100
430,8140,2018-01-22 19:00:00.000,4.1,100
431,8140,2018-01-22 20:00:00.000,3.8,100
432,8140,2018-01-22 21:00:00.000,3.0,100
433,8140,2018-01-22 22:00:00.000,2.0,100
434,8140,2018-01-22 23:00:00.000,1.4,100
435,8140,2018-01-23 00:00:00.000,1.3,100
436,8140,2018-01-23 01:00:00.000,1.2,100
437,8140,2018-01-23 02:00:00.000,1.5,100
438,8140,2018-01-23 03:00:00.000,1.2,100
439,8140,2018-01-23 04:00:00.000,0.6,100
440,8140,2018-01-23 05:00:00.000,0.4,100
441,8140,2018-01-23 06:00:00.000,0.6,100
442,8140,2018-01-23 07:00:00.000,0.6,100
443,8140,2018-01-23 08:00:00.000,0.2,100
444,8140,2018-01-23 09:00:00.000,0.4,100
445,8140,2018-01-23 10:00:00.000,1.8,100
446,8140,2018-01-23 11:00:00.000,4.3,100
447,8140,2018-01-23 12:00:00.000,7.3,100
448,8140,2018-01-23 13:00:00.000,9.0,100
449,8140,2018-01-23 14:00:00.000,9.3,100
450,8140,2018-01-23 15:00:00.000,8.3,100
451,8140,2018-01-23 16:00:00.000,7.8,100
452,8140,2018-01-23 17:00:00.000,7.0,100
453,8140,2018-01-23 18:00:00.000,6.3,100
454,8140,2018-01-23 19:00:00.000,5.8,100
455,8140,2018-01-23 20:00:00.000,6.3,100
456,8140,2018-01-23 21:00:00.000,4.9,100
457,8140,2018-01-23 22:00:00.000,3.4,100
458,8140,2018-01-23 23:00:00.000,3.2,100
459,8140,2018-01-24 00:00:00.000,3.1,100
460,8140,2018-01-24 01:00:00.000,2.7,100
461,8140,2018-01-24 02:00:00.000,2.6,100
462,8140,2018-01-24 03:00:00.000,2.2,100
463,8140,2018-01-24 04:00:00.000,1.5,100
464,8140,2018-01-24 05:00:00.000,1.1,100
465,8140,2018-01-24 06:00:00.000,1.1,100
466,8140,2018-01-24 07:00:00.000,1.1,100
467,8140,2018-01-24 08:00:00.000,1.2,100
468,8140,2018-01-24 09:00:00.000,1.4,100
469,8140,2018-01-24 10:00:00.000,2.2,100
470,8140,2018-01-24 11:00:00.000,3.6,100
471,8140,2018-01-24 12:00:00.000,7.5,100
472,8140,2018-01-24 13:00:00.000,9.0,100
473,8140,2018-01-24 14:00:00.000,9.4,100
474,8140,2018-01-24 15:00:00.000,9.4,100
475,8140,2018-01-24 16:00:00.000,8.7,100
476,8140,2018-01-24 17:00:00.000,7.1,100
477,8140,2018-01-24 18:00:00.000,4.5,100
478,8140,2018-01-24 19:00:00.000,3.3,100
479,8140,2018-01-24 20:00:00.000,2.8,100
